factor,horizon,valid_ic_days,mean_ic,icir,q5_minus_q1_mean
momentum_20d,1,1191,-0.014329203158054143,-0.06249886037048603,0.0002967936587096203
momentum_20d,2,1190,-0.014526118253656151,-0.06604244193454972,0.0004259640271747358
momentum_20d,5,1187,-0.015421019203163444,-0.07283305210076164,0.0006280445244539761
momentum_20d,10,1182,-0.018570310796682196,-0.08948985811161159,0.00029402895155588037
reversal_5d,1,1206,0.021554288824263464,0.10352344998240708,-0.00020740098587949195
reversal_5d,2,1205,0.01439331981176751,0.07362201666390554,-9.051536221624364e-05
reversal_5d,5,1202,0.007271730308922378,0.038233942673259594,-0.0001258577885586097
reversal_5d,10,1197,0.0062226392491547804,0.03266436909248143,-0.0008253199063530505
volatility_20d,1,1191,-0.03175492755531465,-0.12444021643224028,0.0008020813357287348
volatility_20d,2,1190,-0.03397300673528317,-0.13464029121715596,0.0014501416328291915
volatility_20d,5,1187,-0.027782722051108266,-0.11091755824993789,0.003397998356631758
volatility_20d,10,1182,-0.025935035597034473,-0.10355749408598322,0.006296650824499433
